Site #,Origin,Dominant_s,N_trees at,A_year,D_live_cm,H_live_m,G_live_m2_,f_Gs_cub_m,f_M_stem_kg_m2,f_M_stem_bark_kg_m2,f_M_crown_kg_m2,f_M_foliage_kg_m2,f_M_AG_kg_m2,Ln_Gs_cub_m,Ln_M_stem_kg_m2,Ln_M_stem_bark_kg_m2,Ln_M_crown_kg_m2,Ln_M_foliage_kg_m2,Ln_M_AG_kg_m2,F_Soil,M_Soil,X_N36,Y_N36,Cs_wood_Bq/kg,Sr_wood_Bq/kg,Ln_Cs_wood,Ln_Sr_wood,Cs_2021_kB,Sr_2021_kB,Tag_Cs,Tag_Sr,Ln_Tag_Cs,Ln_Tag_Sr,AEDR_count,AEDR_mean,Distance_k,Azimuth,r2020B01,r2020B02,r2020B03,r2020B04,r2020B05,r2020B06,r2020B07,r2020B08,r2020B09,r2020B10,r2020B11,r2020B12,r2020B13,r2019B01,r2019B02,r2019B03,r2019B04,r2019B05,r2019B06,r2019B07,r2019B08,r2019B09,r2019B10,r2019B11,r2019B12
029_2021,a,Pine,29,40,29.7,18.9,37.5,317,11.93,0.67,1.446,0.621,14,5.76,2.48,-0.4,0.37,-0.48,2.64,B,2,289036,5685376,25,198,3.2,5.3,59,13,0.4,15.2,-0.9,2.7,15,0.15,14.8,218,0.0235136994,0.0310222942,0.02231565,0.1945109704,0.0892990514,0.0421732004,0.7943438444,-0.7194295448,0.6110608701,-15.182682264,-11.723620753,0.7761627634,0.0167179978,0.0175625645,0.026703419,0.0179877889,0.1805649885,0.0876832512,0.0412207689,0.8192296706,-0.7429142581,0.6277788574,-15.189810769,-11.387509147,0.751660788
030_2021,n,Birch,41,30,8.7,14.4,23.2,157,6.82,0.5,0.818,0.194,7.84,5.06,1.92,-0.69,-0.2,-1.64,2.06,B,3,288914,5685459,25,161,3.2,5.1,56,12,0.4,13.4,-0.8,2.6,19,0.17,14.9,218,0.0232027064,0.037927278,0.0262917595,0.2676415387,0.1392995116,0.0632894796,0.8211670279,-0.7628270238,0.6336277633,-16.726843688,-11.930633295,0.7135289785,0.0080538704,0.0185778858,0.0335203337,0.0225521181,0.2631549453,0.1286318981,0.0572554325,0.8418769533,-0.7739563264,0.6416816504,-16.433688687,-11.894734559,0.7245217718
031_2021,n,Birch,46,35,13.6,17.2,25.6,210,9.63,0.84,1.177,0.19,10.99,5.35,2.26,-0.17,0.16,-1.66,2.4,B,3,288926,5685378,13,181,2.6,5.2,56,12,0.2,15.1,-1.5,2.7,18,0.16,14.9,218,0.0225161342,0.0336339076,0.0231664397,0.2281249816,0.1283481845,0.0591186243,0.8155043223,-0.7473631245,0.5853381103,-16.21792363,-9.6395020807,0.5943891699,0.018444371,0.0182317362,0.0323806159,0.0217098346,0.2343742971,0.1259354024,0.0577872835,0.8302168275,-0.7571644038,0.6037824816,-16.512274579,-9.4197968836,0.5705105768
032_2021,n,Birch,59,35,17.7,19.3,28.4,257,11.75,0.86,1.441,0.282,13.48,5.55,2.46,-0.15,0.37,-1.27,2.6,B,2,287903,5685502,11,75,2.4,4.3,32,6,0.3,12.5,-1.1,2.5,25,0.16,15.5,221,0.0238886731,0.0390077208,0.0290917408,0.2378247627,0.1317431133,0.0622550848,0.7824983401,-0.7274483012,0.5619912966,-17.600800468,-11.33862139,0.6444603707,0.0582928078,0.0183345023,0.0344094589,0.0233115366,0.2335221267,0.1255092615,0.0545734382,0.8188010102,-0.7440065459,0.6202841041,-15.922436334,-10.812581874,0.6793161935
033_2021,a,Pine,25,28,17.4,15.2,50,280,10.89,0.9,1.705,0.795,13.39,5.63,2.39,-0.11,0.53,-0.23,2.59,B,2,287136,5685454,15,59,2.7,4.1,30,5,0.5,11.8,-0.7,2.5,28,0.12,16,223,0.0233106069,0.0360798328,0.0250690917,0.2532218914,0.1197818173,0.0541424869,0.8197798576,-0.7173948005,0.6058372692,-16.929106909,-10.007584203,0.5915885959,0.035918416,0.0215464149,0.0354475605,0.0231367748,0.2434120396,0.1176245118,0.0530653095,0.8264516348,-0.7459345259,0.641755701,-15.0650554,-9.7953516513,0.6513643389
034_2021,a,Birch,41,28,14.7,17.9,26.4,222,11.53,1.11,1.39,0.332,13.26,5.4,2.44,0.1,0.33,-1.1,2.58,B,2,287097,5685441,18,86,2.9,4.5,29,5,0.6,17.2,-0.5,2.8,11,0.11,16.1,223,0.0218366576,0.0338906839,0.024617808,0.2309388881,0.1406084871,0.0619145308,0.8072739635,-0.7581505733,0.6154572272,-17.754720692,-11.172587473,0.6294261034,0.0213082631,0.0188823763,0.0351636001,0.0234667528,0.2610720394,0.1343515188,0.0578873361,0.8351201455,-0.7625965707,0.6367655094,-16.153413637,-11.074824833,0.6859541039
035_2021,a,Pine,46,26,16.9,13.3,40.2,226,9.2,1.59,1.44,0.698,11.34,5.42,2.22,0.46,0.36,-0.36,2.43,B,2,286466,5685489,5,82,1.6,4.4,29,5,0.2,16.4,-1.8,2.8,21,0.14,16.5,225,0.0234809382,0.0341900275,0.0261382796,0.1884077065,0.1156690718,0.0649494748,0.7447869444,-0.7345632888,0.6022865967,-18.308957783,-11.243642186,0.6133765015,-0.0802646178,0.0206458565,0.0342100292,0.0247668243,0.2212126767,0.1217037307,0.0665000942,0.7895779125,-0.725558849,0.5220219623,-18.435040614,-10.295552245,0.557600694
036_2021,a,Oak,30,26,8.9,11.9,17.5,109,5.72,0.97,1.213,0.201,7.14,4.69,1.74,-0.03,0.19,-1.6,1.97,B,2,286384,5685475,55,83,4,4.4,30,5,1.8,16.6,0.6,2.8,24,0.13,16.5,225,0.0220338192,0.0365214761,0.0217077134,0.3343977473,0.1338662601,0.058801188,0.8775422468,-0.8063367635,0.6920068949,-14.954466382,-9.5332577031,0.6391124314,0.0489053304,0.0180949039,0.0345157608,0.0188248784,0.4233255248,0.1519235403,0.0628837852,0.914708891,-0.8491554895,0.7409122051,-15.977890875,-8.8610404608,0.5542428657
037_2021,n,Alder,61,45,18.2,19.8,51,434,16.96,2.43,1.285,0.431,18.68,6.07,2.83,0.89,0.25,-0.84,2.93,C,3,299390,5675348,27,85,3.3,4.4,116,22,0.2,3.9,-1.5,1.4,28,0.24,21.8,177,0.0256788418,0.037824029,0.0241047595,0.307171331,0.1471959242,0.065176875,0.8520427797,-0.7765287097,0.6105359614,-14.999429261,-8.31627714,0.5556719313,0.0655685987,0.0195211229,0.0366917276,0.0198523806,0.3381978435,0.1536804282,0.0650424647,0.888677144,-0.8034179482,0.6761045519,-14.256621497,-7.1130589155,0.5003326852
038_2021,n,Pine,27,88,38.2,30.6,57.4,619,23.14,2.02,2.224,0.817,26.19,6.43,3.14,0.7,0.8,-0.2,3.27,C,2,298863,5668982,37,133,3.6,4.9,59,10,0.6,13.3,-0.5,2.6,32,0.21,28.1,179,0.0231792577,0.0339060844,0.0212012893,0.1956229564,0.0857332695,0.0373290228,0.8043915021,-0.7133894055,0.6492084108,-15.484039755,-9.9791704643,0.6454293266,-0.0131995733,0.0209182436,0.034030148,0.0218034737,0.193076231,0.0940344941,0.0429145862,0.7968878428,-0.7000646018,0.6360088212,-15.05499575,-9.2656282194,0.6162910911
039_2021,n,Birch,31,85,28.1,25.1,33.5,345,17,1.84,1.357,0.168,18.53,5.84,2.83,0.61,0.31,-1.78,2.92,C,2,298870,5668823,20,156,3,5,69,11,0.3,14.2,-1.2,2.7,27,0.18,28.3,179,0.0234223624,0.035211877,0.0251728573,0.2451227654,0.1311354817,0.0591943638,0.8135232695,-0.7374569401,0.588810046,-15.374563533,-10.554393745,0.6874705052,0.0138598457,0.0231454424,0.0378011236,0.0259127033,0.2486697171,0.1378224445,0.0615753734,0.8110660182,-0.7359856497,0.6026698796,-14.982504508,-9.6654642247,0.6462745312
040_2021,n,Oak,48,85,28.4,22.5,23.5,244,12.87,2.49,2.931,0.173,15.97,5.5,2.55,0.91,1.08,-1.75,2.77,C,2,299127,5668963,11,48,2.4,3.9,66,11,0.2,4.4,-1.8,1.5,25,0.17,28.2,178,0.0224975427,0.0356820863,0.0235572832,0.2509701389,0.1356862552,0.0616567484,0.8281866552,-0.7323820712,0.5973664594,-15.300252392,-10.632224136,0.6956197944,0.045739013,0.0217553261,0.0374507489,0.0227143141,0.2673687784,0.138333576,0.0580294998,0.8433040035,-0.7542607284,0.6431054694,-15.185383317,-9.8386593108,0.648656822
041_2021,a,Pine,27,90,35,30.4,52,619,21.17,1.79,2.191,0.58,23.94,6.43,3.05,0.58,0.78,-0.54,3.18,C,2,299614,5669038,45,79,3.8,4.4,73,11,0.6,7.2,-0.5,2,28,0.2,28.1,177,0.0240210093,0.0363088402,0.0229872007,0.2177528188,0.1004732186,0.0446163204,0.8084840323,-0.7024949303,0.6734348154,-15.157451936,-10.757158312,0.7097055966,-0.0190673512,0.0206852883,0.0354136817,0.0224864526,0.1968030694,0.0941145163,0.04101807,0.7948885716,-0.6949981257,0.6543674542,-14.63940785,-9.5844666099,0.6545768604
042_2021,a,Birch,56,26,8.2,12.2,29.3,181,7,0.78,0.96,0.283,8.24,5.2,1.95,-0.25,-0.04,-1.26,2.11,B,2,299388,5668638,22,212,3.1,5.4,60,11,0.4,19.3,-1,3,19,0.17,28.5,177,0.0231128823,0.0389144183,0.0247144187,0.3238533268,0.1562464801,0.0661139496,0.8581721074,-0.7953882443,0.6753917678,-15.667609109,-8.7353206432,0.5577980486,0.02498045,0.0191293634,0.0357276316,0.0207766612,0.3864058941,0.16715813,0.0681243266,0.8978862133,-0.8305878023,0.7003721994,-15.631017991,-8.1526223536,0.5219414876
043_2021,a,Pine,31,60,33.7,25.7,55.1,537,19.94,1.65,2.05,0.639,22.63,6.29,2.99,0.5,0.72,-0.45,3.12,B,2,280641,5694063,100,1060,4.6,7,462,153,0.2,6.9,-1.5,1.9,38,0.82,17.8,260,0.020260269,0.0350665006,0.0256710731,0.198166106,0.0935240507,0.0463362495,0.7707902917,-0.6982737946,0.6357216233,-15.958813672,-10.522402845,0.6598057725,0.0221921777,0.0188006984,0.0331144243,0.0237938439,0.2011595526,0.0897827318,0.041461153,0.7885254187,-0.717432222,0.6579138181,-15.655753322,-10.043591753,0.6417844834
044_2021,n,Pine,51,40,18.2,16,43.9,252,11.65,1.02,1.374,0.744,13.77,5.53,2.46,0.02,0.32,-0.3,2.62,B,2,280767,5694083,552,974,6.3,6.9,474,158,1.2,6.2,0.2,1.8,24,0.65,17.6,260,0.0193757058,0.0300556876,0.0219386807,0.1661220812,0.0859517438,0.0446791259,0.7657035412,-0.6766782608,0.5311013369,-15.030370414,-10.334550296,0.6878871986,-0.0303768815,0.0185557542,0.0308296519,0.0242923323,0.1611842968,0.0992669082,0.0532478671,0.7373317923,-0.6776109193,0.5007244582,-15.234546034,-10.157270104,0.6668817326
045_2021,a,Pine,44,53,21,23.7,51.2,511,25.37,1.33,1.586,0.478,27.43,6.24,3.23,0.29,0.46,-0.74,3.31,B,2,280579,5694327,169,1410,5.1,7.3,447,146,0.4,9.7,-1,2.3,13,0.72,17.8,261,0.019355502,0.0309992009,0.0214967652,0.1755938664,0.0879753889,0.0427852293,0.78180385,-0.7012262441,0.6344309505,-16.90252753,-10.584742893,0.6288195031,0.0134083683,0.0163814745,0.0307950084,0.0218685332,0.1889180932,0.084938372,0.040398565,0.7924305045,-0.7197263078,0.6478393144,-16.000036607,-8.5928472528,0.5398914845
046_2021,a,Pine,31,62,26.3,23.9,52.3,514,17.31,1.35,1.76,0.863,19.94,6.24,2.85,0.3,0.57,-0.15,2.99,B,2,280647,5694398,61,927,4.1,6.8,449,148,0.1,6.3,-2,1.8,22,0.72,17.7,261,0.018135576,0.0300176736,0.0208302779,0.1863876588,0.0856559806,0.0435456152,0.799113977,-0.7176301352,0.672737529,-17.824350477,-11.707073244,0.6570168216,0.0018406764,0.0161332214,0.0321869821,0.0215886541,0.1968647421,0.0814533615,0.0382158132,0.802519679,-0.719099653,0.6745782101,-16.875277427,-10.894725684,0.6460091374
047_2021,n,Pine,25,15,22,14.2,38.1,234,9.56,1.32,1.342,0.703,11.6,5.46,2.26,0.28,0.29,-0.35,2.45,B,2,280671,5694516,27,405,3.3,6,442,144,0.1,2.8,-2.8,1,30,0.53,17.7,262,0.0192114306,0.0299228623,0.0205032577,0.1944225115,0.0839840549,0.0385692695,0.8089813455,-0.7494900394,0.6952895549,-17.35354941,-11.658969642,0.6727754694,-0.0747898378,0.0170334931,0.0296024869,0.0226846977,0.1960620577,0.0856435734,0.0461071027,0.7926870628,-0.7370215405,0.6204996974,-16.447922252,-11.3248626,0.6895974369
048_2021,n,Pine,21,15,15.6,14.5,16.1,124,5.03,0.71,0.845,0.298,6.17,4.82,1.62,-0.34,-0.17,-1.21,1.82,B,2,280672,5694590,72,315,4.3,5.8,432,139,0.2,2.3,-1.8,0.8,24,0.48,17.6,262,0.0234925087,0.0354498151,0.0325329657,0.1851502537,0.1517151264,0.0900961186,0.7016928619,-0.669219155,0.3394686101,-19.051717797,-13.917034513,0.7307253152,-0.020955339,0.0259384509,0.0415574672,0.0404185011,0.1905891772,0.1638872866,0.0987131397,0.650206882,-0.6418295019,0.3185132689,-19.036700211,-13.231535045,0.6951038153
