Site #,Origin,Dominant_s,N_trees at,A_year,D_live_cm,H_live_m,G_live_m2_,f_Gs_cub_m,f_M_stem_kg_m2,f_M_stem_bark_kg_m2,f_M_crown_kg_m2,f_M_foliage_kg_m2,f_M_AG_kg_m2,Ln_Gs_cub_m,Ln_M_stem_kg_m2,Ln_M_stem_bark_kg_m2,Ln_M_crown_kg_m2,Ln_M_foliage_kg_m2,Ln_M_AG_kg_m2,F_Soil,M_Soil,X_N36,Y_N36,Cs_wood_Bq/kg,Sr_wood_Bq/kg,Ln_Cs_wood,Ln_Sr_wood,Cs_2021_kB,Sr_2021_kB,Tag_Cs,Tag_Sr,Ln_Tag_Cs,Ln_Tag_Sr,AEDR_count,AEDR_mean,Distance_k,Azimuth,r2020B01,r2020B02,r2020B03,r2020B04,r2020B05,r2020B06,r2020B07,r2020B08,r2020B09,r2020B10,r2020B11,r2020B12,r2020B13,r2019B01,r2019B02,r2019B03,r2019B04,r2019B05,r2019B06,r2019B07,r2019B08,r2019B09,r2019B10,r2019B11,r2019B12
1,n,Birch,57,35,13.5,17.3,15.1,123,5.83,0.73,0.853,0.087,6.77,4.81,1.76,-0.31,-0.16,-2.44,1.91,B,3,298987.203,5702242.101,920,10300,6.8,9.2,1912,784,0.5,13.1,-0.7,2.6,27,2.33,5.2,9,0.0193965339,0.0353442118,0.0286158516,0.2544168542,0.175279665,0.0866110911,0.7977608185,-0.7493114066,0.4912695984,-15.527245772,-11.385074325,0.7338064957,0.0407810699,0.0254831982,0.0409101066,0.0306279442,0.2662101416,0.1662987361,0.0813163824,0.7933513731,-0.7336926488,0.5320506853,-15.396488443,-11.262036747,0.731936861
2,a,Pine,25,58,15,16.9,39,317,11.67,0.78,1.409,0.819,13.9,5.76,2.46,-0.25,0.34,-0.2,2.63,B,2,299016.572,5702071.253,3600,15100,8.2,9.6,2005,818,1.8,18.5,0.6,2.9,25,2.47,5,10,0.0191665738,0.0335370159,0.0222298846,0.1898256439,0.0922252127,0.0471201468,0.7891287839,-0.7053551256,0.6597752494,-16.547673342,-10.947564715,0.6617233178,-0.1027756054,0.0240747433,0.0381638551,0.0279335644,0.183349495,0.102655743,0.0521438647,0.7354926911,-0.6554562037,0.5569996416,-16.012155722,-9.3646642472,0.5849203459
3,a,Pine,32,58,13.7,16.8,42.8,346,12.37,0.9,1.732,0.807,14.91,5.85,2.52,-0.11,0.55,-0.21,2.7,B,2,299072.773,5702073.024,4360,14600,8.4,9.6,2001,818,2.2,17.8,0.8,2.9,26,2.44,5.1,11,0.0195682287,0.0359571984,0.0211900722,0.2043633937,0.0930621116,0.0438237016,0.8121202495,-0.7047579665,0.6313484282,-14.341916916,-11.884799426,0.8296026049,-0.0632002286,0.022491797,0.038968188,0.0261230303,0.1840659864,0.0996253437,0.050684286,0.7514364315,-0.6505745652,0.5681482071,-13.609903361,-9.7261083793,0.7151768005
4,a,Pine,63,58,20.3,18.4,38.8,315,13.88,0.92,1.477,0.704,16.06,5.75,2.63,-0.08,0.39,-0.35,2.78,B,2,299152.693,5702069.315,3420,12700,8.1,9.4,2040,833,1.7,15.2,0.5,2.7,23,2.55,5.1,11,0.0205559221,0.0338683641,0.0252839547,0.1879982881,0.1028719899,0.0485853127,0.7624314425,-0.6954159936,0.6018938404,-14.885610136,-11.725162777,0.7876086525,-0.0571766733,0.0237422583,0.0378106113,0.0273898939,0.1772206214,0.1025398744,0.0521977898,0.7324042089,-0.6483099329,0.5447171661,-14.321649709,-10.457536162,0.7303896569
5,a,Pine,53,58,17.5,19.9,48.3,383,14.51,1,1.771,0.69,16.97,5.95,2.67,0,0.57,-0.37,2.83,B,2,299249.689,5702063.265,2200,12100,7.7,9.4,1758,717,1.3,16.9,0.2,2.8,24,2.14,5.1,13,0.0190027775,0.0361525324,0.0249107168,0.2162711282,0.0969809799,0.0448797185,0.7936057599,-0.7175617874,0.6429417493,-14.647913391,-11.512281825,0.7856976132,-0.0738297844,0.022916382,0.0375573484,0.0257024112,0.1837048187,0.1013937716,0.0504366763,0.7544812161,-0.6603823458,0.5691119536,-13.934375325,-11.393335136,0.8174296369
6,a,Pine,46,58,23.1,17.4,18.9,151,6.26,1.02,1.36,0.304,7.92,5.02,1.83,0.02,0.31,-1.19,2.07,B,2,299324.039,5702085.293,3360,13000,8.1,9.5,1661,678,2,19.2,0.7,3,34,2.04,5.1,13,0.019496203,0.0320989024,0.023683247,0.1604259058,0.0932240393,0.0488922254,0.7415248918,-0.6740071801,0.5664174385,-14.629126982,-9.4104241516,0.6428672357,-0.1042877545,0.026299597,0.0377308038,0.0308835658,0.1679214365,0.1100279396,0.0615642885,0.6892806456,-0.6326905181,0.4621296937,-14.453514639,-9.0267708382,0.624064325
7,n,Birch,34,25,16.8,15.3,13.8,99,5.21,0.92,0.884,0.113,6.2,4.6,1.65,-0.08,-0.12,-2.18,1.82,B,2,299315.194,5701798.112,946,7800,6.9,9,1867,752,0.5,10.4,-0.7,2.3,22,2.32,4.8,14,0.037839498,0.0547079723,0.0602324008,0.2177357035,0.2379087133,0.1357737137,0.566019759,-0.6194955664,0.2753940028,-19.046777835,-12.45717157,0.6543853682,-0.0526261547,0.0380406201,0.0537674237,0.0564794918,0.2083577204,0.2275744647,0.1323288603,0.5729078671,-0.589217885,0.2227678501,-18.164983536,-12.613513014,0.6944679768
8,n,Birch,34,25,6.3,9.9,8.4,46,2.77,0.45,0.573,0.169,3.51,3.83,1.02,-0.8,-0.56,-1.78,1.26,B,2,299242.45,5701737.527,1360,7400,7.2,8.9,1944,784,0.7,9.4,-0.4,2.2,30,2.4,4.8,13,0.0304472388,0.0509009539,0.0536275912,0.2308575668,0.2343302974,0.1302698493,0.62322494,-0.6448098601,0.2839098878,-18.284470652,-11.045268373,0.6046026874,-0.0188445975,0.0320907318,0.0493976682,0.0472320427,0.2199376252,0.2258902065,0.1276768943,0.6461139052,-0.633002997,0.2650652984,-18.88380692,-10.888454937,0.5770377699
9,a,Oak,43,65,21.4,15.3,20.9,158,9.59,2.23,1.43,0.325,11.35,5.06,2.26,0.8,0.36,-1.12,2.43,B,2,298975.258,5701877.634,4900,3360,8.5,8.1,2369,954,2.1,3.5,0.7,1.3,46,3,4.8,10,0.0152623177,0.0252909012,0.0177171115,0.1553011673,0.092673189,0.041736059,0.7932507143,-0.70691291,0.5320887356,-17.20311267,-11.086635431,0.6454383529,0.0466622771,0.0270359825,0.0460113386,0.0314368978,0.2213591895,0.1183683942,0.0589164139,0.7515301209,-0.6559785632,0.5787510151,-16.545642393,-10.109937793,0.611758689
10,n,Birch,26,30,15.7,16.4,18.7,143,7.5,1.06,1.26,0.185,8.95,4.96,2.01,0.06,0.23,-1.69,2.19,C,3,299209.988,5701122.689,1990,7450,7.6,8.9,2527,1006,0.8,7.4,-0.2,2,54,3.15,4.2,15,0.0280084017,0.0515661417,0.0423302078,0.2665678979,0.1971997078,0.104204959,0.725425389,-0.6792154985,0.363419791,-16.516205965,-12.301175773,0.7454477242,0.0246441253,0.0271725562,0.0436051819,0.0353966539,0.2303177975,0.1937837872,0.1013776027,0.7336878812,-0.6818609302,0.3880639231,-16.992037234,-11.687016322,0.6889022974
11,n,Birch,35,15,3.7,7.5,3.7,24,1.29,0.32,0.391,0.091,1.77,3.18,0.25,-1.14,-0.94,-2.4,0.57,B,2,299128.76,5701185.241,2300,18600,7.7,9.8,2406,957,1,19.4,0,3,20,3,4.2,14,0.0173726771,0.0309898876,0.0276074779,0.1892772626,0.1336255158,0.0671488104,0.7451930423,-0.7232836263,0.4906784365,-16.408110523,-13.274980552,0.8094739202,-0.0429753101,0.0242691956,0.0368571747,0.027611433,0.1949212968,0.1428092693,0.0742452693,0.7517021024,-0.6818614747,0.4477031304,-15.526164633,-13.62814853,0.877742683
12,a,Pine,42,45,18,20.1,39.9,369,15.28,0.96,1.353,0.622,17.25,5.91,2.73,-0.04,0.3,-0.47,2.85,B,2,299089.19,5701068.788,2670,5400,7.9,8.6,2683,1079,1,5,0,1.6,28,3.26,4.1,13,0.0176438194,0.0299182983,0.0190134218,0.200588432,0.0917225275,0.042325615,0.827033849,-0.7228060605,0.6860611933,-17.38938372,-11.478925567,0.660304436,-0.0695534089,0.0206733355,0.0322438623,0.0224641862,0.1849997722,0.0909451793,0.0438751577,0.7833398516,-0.7029912718,0.6165077975,-16.613456024,-10.998525906,0.6623970463
13,a,Pine,23,45,21.5,18.4,32,274,11.34,1.06,1.464,0.438,13.24,5.61,2.43,0.06,0.38,-0.83,2.58,B,2,299164.618,5701045.637,1260,7040,7.1,8.9,2598,1049,0.5,6.7,-0.7,1.9,13,3.46,4.1,15,0.0205538663,0.0362706173,0.0264577315,0.2309838896,0.107342257,0.0525051254,0.7957105125,-0.7257562381,0.6446453834,-15.904248357,-9.9496800686,0.6259499336,-0.0310979977,0.0225775092,0.0341550212,0.0235500978,0.1938290444,0.0975571995,0.0464791232,0.7831639142,-0.7003880287,0.6135473893,-15.434939635,-10.027134493,0.6499845683
14,n,Birch,27,60,21.4,18.9,17.2,153,7.75,0.99,1.443,0.22,9.42,5.03,2.05,-0.01,0.37,-1.51,2.24,B,3,299114.954,5700979.39,1490,8030,7.3,9,2517,1029,0.6,7.8,-0.5,2.1,31,3.33,4,14,0.0219386495,0.0377543214,0.0335407316,0.2042981308,0.1793391267,0.0958884207,0.7192594342,-0.6747698624,0.3876214222,-19.164906482,-11.383714274,0.5958330956,0.0217734873,0.0289985262,0.0459019186,0.036212015,0.2293427216,0.1777559746,0.0958554031,0.7268575087,-0.6663115464,0.4093949112,-18.09977529,-11.085815557,0.6140374268
15,n,Birch,56,45,14.7,18.1,18.3,156,8.76,0.95,1.312,0.145,10.22,5.05,2.17,-0.05,0.27,-1.93,2.32,B,3,298822.767,5701274.835,1380,13500,7.2,9.5,3067,1317,0.4,10.3,-0.8,2.3,29,4,4.2,9,0.0158238372,0.0314710258,0.0239578305,0.229071471,0.1508662424,0.0713225166,0.8104346661,-0.7594850971,0.5641960044,-17.07260247,-9.9099545795,0.5820373567,0.0176846336,0.0225108922,0.0378764903,0.0272785297,0.2550707348,0.1459899677,0.0674063643,0.8068162064,-0.7415308607,0.581880649,-16.101841389,-9.9498045443,0.6199495063
16,a,Pine,21,45,10.5,7.9,7.3,31,1.34,0.26,0.575,0.203,2.11,3.43,0.29,-1.35,-0.55,-1.59,0.75,A,2,298960.05,5701244.516,1290,25200,7.2,10.1,2679,1080,0.5,23.3,-0.7,3.1,12,3.04,4.2,11,0.0303565954,0.0499678211,0.0550180293,0.2094814797,0.1816481644,0.1222775221,0.5859686853,-0.621337907,0.2302572274,-16.600563902,-11.611654304,0.699546437,-0.0881727491,0.0389113091,0.0544369365,0.0538190222,0.2006797197,0.2091981774,0.1510225078,0.5777551617,-0.5733938333,0.1420844784,-16.037054022,-11.019862269,0.6872029422
17,a,Pine,51,50,19.8,14.6,29,206,9.01,1.18,1.391,0.882,11.28,5.33,2.2,0.17,0.33,-0.13,2.42,B,2,299137.715,5701250.699,1230,11400,7.1,9.3,2256,899,0.5,12.7,-0.6,2.5,75,2.63,4.3,13,0.0198698866,0.0349632407,0.0238804699,0.2136496476,0.097545043,0.0484163456,0.799008852,-0.7194342722,0.6292487714,-16.446828987,-11.299541952,0.6877973272,-0.0996002861,0.0244417312,0.0372704481,0.027863431,0.1843329799,0.1066487616,0.0566324843,0.7372609943,-0.6634115445,0.5296484918,-15.117439111,-11.219680836,0.7443003446
18,n,Pine,32,105,36.1,22.9,31.7,320,11.1,1.02,1.031,0.448,12.58,5.77,2.41,0.02,0.03,-0.8,2.53,A,2,307827.31,5703732.946,770,1440,6.6,7.3,558,128,1.4,11.3,0.3,2.4,26,0.67,11.7,56,0.0203599044,0.0344534069,0.0285598226,0.1794379856,0.1147962468,0.0641753155,0.7257303965,-0.6693083105,0.5006374441,-16.116539573,-10.747854155,0.6680164259,-0.0479274545,0.0255546974,0.0378562169,0.0308277516,0.1639507869,0.1127925333,0.0617368383,0.6836426505,-0.6247117822,0.4527099966,-16.236492406,-10.60778587,0.6543281341
19,n,Pine,33,15,1.9,4.2,0.9,5,0.16,0.08,0.274,0.165,0.59,1.61,-1.83,-2.53,-1.29,-1.8,-0.53,C,3,307860.529,5703840.915,1252,2347,7.1,7.8,438,98,2.9,23.9,1.1,3.2,32,0.48,11.8,55,0.0165631822,0.0278549127,0.0219142951,0.2105239167,0.1496922693,0.0722091569,0.8101592158,-0.8074353611,0.5498097875,-17.955862307,-10.871979304,0.6054986773,-0.052908652,0.0237704383,0.0396044545,0.0302734226,0.2787314786,0.1921139643,0.0935131063,0.8030027136,-0.7503335393,0.496901133,-17.378989559,-9.4167536279,0.5423871611
20,a,Pine,34,45,9.9,10.7,26.1,144,5.67,1.06,1.16,0.846,7.67,4.97,1.74,0.06,0.15,-0.17,2.04,A,2,307708.876,5703672.081,810,2600,6.7,7.9,583,141,1.4,18.4,0.3,2.9,14,0.72,11.6,56,0.0246692212,0.0405726557,0.0344447166,0.1970061302,0.1175567478,0.0636351223,0.7021786628,-0.6926159002,0.5658154464,-15.501012467,-10.77837394,0.6959917913,-0.0842630896,0.0261963371,0.040229372,0.0307594211,0.1834034405,0.1206088889,0.0643995998,0.7128325379,-0.6400284456,0.4815523452,-15.854443487,-10.892999033,0.6879811623
21,n,Pine,33,45,3.8,4,3.7,13,0.5,0.27,0.259,0.109,0.87,2.56,-0.69,-1.31,-1.35,-2.22,-0.14,A,2,307667.11,5703635.444,896,4280,6.8,8.4,585,144,1.5,29.7,0.4,3.4,20,0.69,11.6,56,0.0231658972,0.0378325716,0.0330879401,0.1788892689,0.1329021163,0.0781086367,0.6874681954,-0.6647441327,0.39469627,-14.468742073,-9.6882415287,0.6698534917,-0.0985081437,0.0340220859,0.0469601225,0.0422579674,0.176894624,0.1499840573,0.0959944434,0.6145252356,-0.580280172,0.2961881392,-15.164425727,-10.149185801,0.6694644626
22,n,Pine,46,20,4.9,6.3,1.8,11,0.56,0.23,0.228,0.087,0.88,2.4,-0.58,-1.47,-1.48,-2.44,-0.13,A,2,307739.28,5703584.379,395,3950,6,8.3,527,128,0.7,30.9,-0.3,3.4,20,0.65,11.6,56,0.0328967516,0.0473424277,0.0487204385,0.1712759395,0.1682924734,0.1144942811,0.5580592565,-0.6050398111,0.2728657004,-17.490787553,-12.402360893,0.7100108943,-0.1092470048,0.038097007,0.0520253783,0.0518914924,0.1733327568,0.1825272462,0.1245518228,0.5386677735,-0.5376382857,0.1636187033,-17.430535464,-13.084726986,0.7515302159
23,n,Pine,82,10,2.9,3.7,5.4,15,0.62,0.28,0.274,0.252,1.14,2.71,-0.48,-1.27,-1.29,-1.38,0.13,A,2,307840.57,5703587.907,471,2800,6.2,7.9,562,136,0.8,20.6,-0.2,3,15,0.67,11.7,56,0.017294149,0.0315002304,0.022992555,0.1869980493,0.1150831249,0.0594543093,0.7818629887,-0.7224728082,0.5526674831,-16.214728168,-11.179962024,0.68959223,-0.1210540108,0.0268735689,0.0427966683,0.0328944887,0.1996645877,0.1414707388,0.0792039108,0.7174188038,-0.6471325623,0.4316134681,-15.670692163,-11.810160183,0.7536557589
24,a,Pine,42,65,22.7,19.1,33.1,297,11.92,1,1.636,0.506,14.06,5.69,2.48,0,0.49,-0.68,2.64,A,2,307910.502,5703610.536,560,1930,6.3,7.6,553,132,1,14.6,0,2.7,32,0.65,11.7,56,0.0202766277,0.0345032328,0.0273382854,0.1831757625,0.1090059669,0.0572413394,0.740037121,-0.6764643964,0.5405341165,-14.389896156,-10.115215373,0.7030183711,-0.0759383925,0.0262745526,0.0383028178,0.0329634158,0.1717533017,0.1150341295,0.0627134288,0.6784717877,-0.6352954263,0.4645957338,-13.456509883,-10.237280017,0.7608235428
25,n,Pine,50,20,3.2,3.5,3.9,10,0.49,0.25,0.274,0.119,0.88,2.3,-0.71,-1.39,-1.29,-2.13,-0.13,B,4,307937.283,5703643.415,949,2880,6.9,8,485,113,2,25.5,0.7,3.2,14,0.51,11.8,56,0.0214582467,0.037912719,0.0298045384,0.1847702655,0.1274460546,0.0670599885,0.7243427065,-0.6854418833,0.4602986511,-17.612689064,-10.691360851,0.6075388694,-0.0312562695,0.0334421796,0.051662488,0.0444745343,0.2368293629,0.1719497043,0.0946087832,0.6849564973,-0.6433374911,0.4290423952,-17.240637585,-10.528818262,0.6117667475
26,n,Pine,40,120,33,25.6,33.4,391,15.79,0.89,1.284,0.401,17.47,5.97,2.76,-0.12,0.25,-0.91,2.86,C,3,306243.78,5703155.036,680,2080,6.5,7.6,697,214,1,9.7,0,2.3,25,0.87,10.1,53,0.0209140355,0.0377619116,0.026301248,0.2093791038,0.1128618601,0.0546702018,0.7773479392,-0.7027610115,0.603979756,-14.973921164,-9.0181197923,0.6035580644,-0.035351423,0.0229939154,0.0365430638,0.0259943324,0.1915461134,0.1091503174,0.0525963477,0.7617371242,-0.679709519,0.5686283395,-15.677193332,-9.2240741925,0.5894246752
27,a,Pine,33,83,29.1,26.8,44,570,20.98,1.64,2.063,0.832,23.87,6.35,3.04,0.49,0.72,-0.18,3.17,B,2,306058.147,5703301.056,908,2010,6.8,7.6,716,220,1.3,9.1,0.2,2.2,24,0.84,10.1,52,0.0189979452,0.0351070041,0.0258335249,0.187286291,0.1032761216,0.0515841351,0.7577498522,-0.6946383622,0.5561460165,-16.511144906,-9.3828278053,0.5684941979,-0.0460896759,0.0244539949,0.0395851783,0.0306465662,0.1815631674,0.111658953,0.0589269872,0.711180893,-0.6419764978,0.5100563416,-16.639875288,-9.9438631342,0.5977419061
28,a,Pine,50,58,18.3,20.8,48.3,431,17.15,1,1.772,0.498,19.42,6.07,2.84,0,0.57,-0.7,2.97,B,2,305164.89,5703049.783,1330,3870,7.2,8.3,674,219,2,17.7,0.7,2.9,17,0.81,9.2,50,0.0186567641,0.0332821945,0.0228103007,0.2104505783,0.1058111413,0.0521803377,0.8053947424,-0.7066001102,0.4545613588,-14.249472733,-9.195165961,0.6472729194,-0.0022236728,0.0234418765,0.03687076,0.026405376,0.1737136445,0.1169629949,0.0655082412,0.7339604433,-0.6480756216,0.4523376944,-13.546996602,-8.7344694762,0.6475464212
29,a,Pine,62,58,4.6,5.4,20.9,65,2.71,0.52,0.836,0.588,4.13,4.17,1,-0.65,-0.18,-0.53,1.42,A,0,305233.402,5703115.776,1360,9300,7.2,9.1,619,197,2.2,47.2,0.8,3.9,18,0.72,9.3,50,0.0315142202,0.0508760528,0.0492793824,0.1910282475,0.1563356843,0.0960689711,0.5905431727,-0.4831648323,0.0614326915,-17.072266525,-11.029795117,0.646956918,0.0692791591,0.0395045301,0.0584607584,0.0539213776,0.1762673895,0.1933875542,0.1366357801,0.5447602812,-0.5092692405,0.1307118469,-17.310601677,-10.849629666,0.6280941705
30,n,Pine,30,50,11.5,7.3,3.1,14,0.75,0.27,0.496,0.113,1.36,2.64,-0.29,-1.31,-0.7,-2.18,0.31,A,0,305177.153,5703177.389,1050,5830,7,8.7,795,257,1.3,22.7,0.3,3.1,37,0.98,9.3,49,0.0370490493,0.0558163963,0.0597084657,0.1970544866,0.1720544888,0.1199908914,0.5376424658,-0.4109442901,0.0776896867,-19.565778955,-12.993750392,0.6661625685,-0.0347736633,0.0590505949,0.0770384845,0.0816747541,0.1745243875,0.2061234868,0.1605807324,0.3633946253,-0.389419692,0.0429160246,-19.275588582,-12.797330642,0.6658795129
31,a,Pine,42,58,13.2,11.7,23.1,142,5.86,1.22,1.388,0.696,7.94,4.96,1.77,0.2,0.33,-0.36,2.07,A,1,305151.824,5703207.355,1040,7590,6.9,8.9,766,246,1.4,30.9,0.3,3.4,29,0.9,9.3,49,0.0200722041,0.0335003862,0.0254098312,0.1723379965,0.1075385079,0.0572382259,0.7431681782,-0.6294513871,0.4171390103,-15.900635996,-12.569101861,0.7939311099,-0.0958727533,0.0305680143,0.044625661,0.0403617545,0.1647924387,0.1381143521,0.0857721184,0.609429349,-0.5751767731,0.321266264,-15.257620835,-11.367184896,0.7482091569
32,a,Pine,83,36,12.7,14.3,40.9,281,10.92,0.96,1.269,0.896,13.08,5.64,2.39,-0.04,0.24,-0.11,2.57,A,2,305315.298,5702978.069,740,3200,6.6,8.1,423,135,1.7,23.7,0.6,3.2,15,0.55,9.3,51,0.0187052272,0.0328990959,0.0237694421,0.1567041731,0.1197288306,0.0738626941,0.7289451338,-0.6984091975,0.5385670841,-16.535187391,-9.716247788,0.5876896989,-0.1323704915,0.0262590865,0.0402365145,0.032040895,0.1758648984,0.1252963135,0.0746211429,0.692315655,-0.6278063147,0.4061965884,-17.175533563,-9.6869310311,0.5640336718
33,a,Pine,39,70,10.5,10,33,176,7.28,1.3,1.537,0.839,9.66,5.17,1.99,0.26,0.43,-0.18,2.27,A,2,305350.053,5703219.103,1580,7700,7.4,8.9,709,228,2.2,33.8,0.8,3.5,30,0.85,9.5,50,0.0208359508,0.035726872,0.0280510395,0.1761342816,0.1130906556,0.0664154043,0.7253121905,-0.6741630665,0.5267678089,-16.511221165,-10.725817595,0.6495667428,-0.1400840904,0.0253493931,0.0371624752,0.0321722449,0.1576383613,0.1177426478,0.0693453651,0.6581691199,-0.6160760707,0.3866837156,-15.897915658,-10.745232982,0.6758445357
34,n,Pine,53,55,23.6,19.4,42.9,376,16.36,1.26,1.666,0.797,18.82,5.93,2.79,0.23,0.51,-0.23,2.93,B,2,305381.992,5702901.597,1730,5500,7.5,8.6,608,202,2.8,27.2,1,3.3,12,0.75,9.3,51,0.0188734399,0.0324088871,0.0212647986,0.195842222,0.0881674374,0.0426310998,0.8039145919,-0.7216009393,0.6326133343,-15.15320269,-10.82503994,0.7157349446,-0.0899292334,0.0220803412,0.034809884,0.026210498,0.1804737403,0.1016212411,0.0534081536,0.7459398587,-0.6763735934,0.5426840861,-14.905441136,-10.886429139,0.7320344857
35,n,Birch,41,65,19.3,20.1,21,196,10.52,0.95,1.277,0.269,12.07,5.28,2.35,-0.05,0.24,-1.31,2.49,B,4,305226.738,5702835.289,580,2160,6.4,7.7,639,211,0.9,10.2,-0.1,2.3,14,0.74,9.1,51,0.0145321973,0.0306305277,0.0196615608,0.2477148293,0.1349818328,0.0585540464,0.8526980795,-0.7813916319,0.5922363066,-15.393516664,-10.761566034,0.7013986352,0.0341766829,0.0201913998,0.0335866236,0.0217086486,0.2626961584,0.1401560893,0.0601933395,0.8471760387,-0.7732062525,0.626413,-14.634769208,-10.103582144,0.6932578503
36,a,Birch,30,60,12.3,13.6,14.3,107,4.96,1.03,1.199,0.253,6.41,4.67,1.6,0.03,0.18,-1.37,1.86,A,1,305489.023,5697983.729,252,4300,5.5,8.4,536,143,0.5,30.1,-0.8,3.4,111,0.56,7.4,83,0.0244344547,0.0344532478,0.0332500127,0.1445448971,0.1311731504,0.0776983051,0.628376987,-0.6209545456,0.3302496956,-16.844165513,-11.558089881,0.6854278023,-0.0533622675,0.0327324596,0.0470868632,0.0463917751,0.1832955699,0.1723466735,0.1046859952,0.5987679767,-0.5926234675,0.2768874244,-15.454248107,-11.747896888,0.759699523
37,n,Pine,17,48,3.5,2.7,0.7,2,0.05,0.02,0.274,0.2,0.53,0.69,-3,-3.91,-1.29,-1.61,-0.63,A,0,305436.73,5697835.048,313,6950,5.7,8.8,537,141,0.6,49.3,-0.5,3.9,56,0.65,7.3,84,0.0589660764,0.0751689067,0.0800454856,0.1897993337,0.1859353231,0.1404325736,0.4109235327,-0.5138428371,0.2257924162,-17.697209485,-12.570757104,0.7105644942,-0.0917057382,0.0556003866,0.0694150837,0.0749764844,0.18069702,0.1918161826,0.13947528,0.4201520191,-0.4498424043,0.1340866819,-16.833928771,-12.051996971,0.7162820657
38,a,Birch,32,45,16.3,16.4,13.4,107,5.61,0.83,0.818,0.166,6.59,4.67,1.72,-0.19,-0.2,-1.8,1.89,B,2,305501.829,5697685.209,247,9320,5.5,9.1,509,124,0.5,75.2,-0.7,4.3,15,0.6,7.4,85,0.0256850183,0.0410645237,0.0362289174,0.2183884944,0.155195227,0.0829279347,0.7156125531,-0.6946007004,0.431917559,-15.50578667,-12.125552188,0.7823406677,-0.0230236097,0.0286876788,0.0443430945,0.0371469516,0.2284958019,0.1778218547,0.0958699008,0.7201732759,-0.6748954241,0.4088939439,-14.956162843,-12.539244981,0.8387355461
39,a,Pine,61,40,16.9,15.5,53.6,289,13.2,1.26,1.655,0.791,15.65,5.67,2.58,0.23,0.5,-0.23,2.75,B,2,300319.033,5690779.193,42,839,3.7,6.7,669,275,0.1,3.1,-2.8,1.1,13,0.67,6.7,161,0.023998641,0.0340394588,0.0382104203,0.1033576529,0.1205544503,0.0868114043,0.4574611386,-0.6289628942,0.4162924937,-16.601223416,-11.748098422,0.7080520148,0.2797806996,0.0198756449,0.0321845991,0.0207804444,0.2026115079,0.0789182766,0.0361356742,0.8138082648,-0.7256706627,0.696073208,-15.86701428,-12.697050782,0.8006976824
40,a,Pine,33,68,21.1,23.4,46.4,477,17.33,0.9,1.821,0.487,19.63,6.17,2.85,-0.11,0.6,-0.72,2.98,A,2,300329.938,5690672.543,215,3400,5.4,8.1,1193,498,0.2,6.8,-1.7,1.9,61,1.47,6.8,161,0.0234597284,0.0386948862,0.0329122138,0.179127331,0.1105786922,0.0644298564,0.6869762539,-0.5471582967,0.2458211404,-14.300421935,-9.2692724578,0.6482107734,0.4001518225,0.0220164961,0.0351176994,0.0236434686,0.1981590375,0.0886632493,0.0426266275,0.7868555152,-0.6989224375,0.6459729749,-13.519910558,-9.6912923623,0.7169416085
41,a,Pine,35,68,27.2,23.2,39.5,415,17.06,1,1.231,0.632,18.93,6.03,2.84,0,0.21,-0.46,2.94,B,2,300359.353,5690733.465,279,2100,5.6,7.6,1008,414,0.3,5.1,-1.3,1.6,16,1.29,6.7,161,0.0206920412,0.0332794342,0.0219481966,0.1918154277,0.0965659828,0.050478366,0.794514732,-0.6705343404,0.556171807,-17.98110888,-11.628242687,0.6466869721,0.0766927508,0.0205536766,0.030509357,0.0200221372,0.1804355272,0.0881781502,0.0404348165,0.8008125966,-0.7106087887,0.6328645312,-17.286695584,-11.625453963,0.6724059632
42,n,Pine,31,30,16.2,9.9,25.6,122,5.53,1.04,1.01,0.569,7.11,4.8,1.71,0.04,0.01,-0.56,1.96,B,2,300193.092,5690785.353,60,789,4.1,6.7,632,275,0.1,2.9,-2.4,1.1,15,0.76,6.6,162,0.030152294,0.0414565527,0.0449580878,0.1275064496,0.1696219741,0.1428791461,0.4794678674,-0.4951484857,-0.069011741,-16.34868012,-10.19633313,0.6241223343,0.6400952431,0.0238562245,0.037148171,0.0254056841,0.2120810957,0.105014414,0.0577905535,0.7861699622,-0.7019622164,0.5710834883,-14.350225838,-10.275711176,0.7173829527
43,n,Pine,15,15,8.3,3.5,1.6,4,0.12,0.03,0.267,0.059,0.45,1.39,-2.12,-3.51,-1.32,-2.83,-0.8,A,1,299998.572,5691014.308,196,1290,5.3,7.2,603,269,0.3,4.8,-1.1,1.6,21,0.72,6.4,163,0.0372469681,0.0542067114,0.054658387,0.1793654953,0.2154246788,0.1468662708,0.5330021098,-0.5474344274,0.1235534202,-22.517731483,-14.262762518,0.6337576225,-0.0168379832,0.0422448882,0.0592184081,0.061755729,0.1903150039,0.2360690518,0.1536440682,0.5099427549,-0.5253236398,0.1067154388,-22.820203596,-16.820473238,0.738136477
